feature_ID	gene_name	FC_Syn_vs_H_at_ZT0	FC_Syn_vs_H_at_ZT12	synaptic_enriched_3104	in_Cajigas_et_al 	in_Ouwenga_et_al 
ENSMUSG00000031984	2810004N23Rik	NaN	NaN			+
ENSMUSG00000031986	Sprtn	NaN	NaN			+
ENSMUSG00000050930	Map10	NaN	NaN			+
ENSMUSG00000031853	BC021891	NaN	NaN			+
ENSMUSG00000057060	Slc35f3	NaN	NaN			+
ENSMUSG00000051671	Coa6	NaN	NaN			+
ENSMUSG00000090290	Gm17296	NaN	NaN			+
ENSMUSG00000051495	Irf2bp2	NaN	NaN			+
ENSMUSG00000071302	2610044O15Rik8	NaN	NaN			+
ENSMUSG00000091754	Gm3636	NaN	NaN			
ENSMUSG00000092167	Gm3696	NaN	NaN			
ENSMUSG00000021750	Fam107a	3.527099	2.98897	+		+
ENSMUSG00000021747	4930452B06Rik	NaN	NaN			+
ENSMUSG00000033111	3830406C13Rik	NaN	NaN			+
ENSMUSG00000021774	Ube2e1	NaN	NaN			+
ENSMUSG00000021807	2700060E02Rik	NaN	NaN			+
ENSMUSG00000045107	Saysd1	NaN	NaN			+
ENSMUSG00000021810	Ecd	NaN	NaN			+
ENSMUSG00000039599	Fam149b	NaN	NaN			+
ENSMUSG00000039543	Cfap70	NaN	NaN			
ENSMUSG00000021819	Zswim8	NaN	NaN			+
ENSMUSG00000021767	Kat6b	NaN	NaN			+
ENSMUSG00000039081	Zfp503	NaN	NaN			+
ENSMUSG00000063458	1700112E06Rik	2.467725	2.288347	+		
ENSMUSG00000040818	Dennd6a	NaN	NaN			+
ENSMUSG00000040717	Il17rd	NaN	NaN			+
ENSMUSG00000040651	Fam208a	NaN	NaN			
ENSMUSG00000046753	Ccdc66	NaN	NaN			+
ENSMUSG00000015966	Il17rb	NaN	NaN			
ENSMUSG00000058351	Smim4	NaN	NaN			+
ENSMUSG00000042286	Stab1	0.9988678	2.303308	+		+
ENSMUSG00000019027	Dnah1	NaN	NaN			+
ENSMUSG00000057606	Colq	1.774215	1.194321	+		+
ENSMUSG00000021903	Galnt15	NaN	NaN			
ENSMUSG00000021919	Chat	1.461843	2.138349	+		+
ENSMUSG00000071540	3425401B19Rik	3.928986	3.831332	+		
ENSMUSG00000041707	1810011H11Rik	NaN	NaN			
ENSMUSG00000051506	Wdfy4	2.218142	5.209702	+		+
ENSMUSG00000041479	Syt15	NaN	NaN			
ENSMUSG00000041471	Fam35a	NaN	NaN			+
ENSMUSG00000041445	Mmrn2	NaN	NaN			
ENSMUSG00000021798	Ldb3	NaN	NaN			+
ENSMUSG00000041408	Wapal	NaN	NaN			+
ENSMUSG00000058690	Ccser2	NaN	NaN			+
ENSMUSG00000096001	2610528A11Rik	3.912347	4.849492	+		
ENSMUSG00000021792	Fam213a	3.177206	2.50264	+		+
ENSMUSG00000071489	Ptgdr	NaN	NaN			
ENSMUSG00000053205	Styx	NaN	NaN			
ENSMUSG00000015759	Cnih1	NaN	NaN			+
ENSMUSG00000021838	Samd4	2.158442	2.612785	+		+
ENSMUSG00000036339	Tmem260	NaN	NaN			+
ENSMUSG00000021848	Otx2	NaN	NaN			+
ENSMUSG00000036291	Ap5m1	NaN	NaN			+
ENSMUSG00000021852	Slc35f4	NaN	NaN			+
ENSMUSG00000036242	3632451O06Rik	1.845293	1.662631	+		+
ENSMUSG00000090799	Klhl33	NaN	NaN			
ENSMUSG00000091089	A930018M24Rik	NaN	NaN			
ENSMUSG00000068417	Pnp2	1.674858	1.136239	+		
ENSMUSG00000072115	Ang	1.390754	2.157893	+		+
ENSMUSG00000035896	Rnase1	2.630164	2.95499	+		+
ENSMUSG00000072572	Slc39a2	NaN	NaN			+
ENSMUSG00000035726	Supt16	1.510371	1.727792	+		+
ENSMUSG00000104876	Trdc	1.121384	1.897199	+		
ENSMUSG00000076928	Trac	2.541912	1.933178	+		
ENSMUSG00000022179	4931414P19Rik	NaN	NaN			
ENSMUSG00000040822	1700123O20Rik	NaN	NaN			+
ENSMUSG00000072494	Ppp1r3e	1.57435	1.574159	+		+
ENSMUSG00000092232	Gm20521	NaN	NaN			
ENSMUSG00000040701	Ap1g2	NaN	NaN			+
ENSMUSG00000022217	Emc9	NaN	NaN			+
ENSMUSG00000002324	Rec8	NaN	NaN			+
ENSMUSG00000019297	Nop9	NaN	NaN			+
ENSMUSG00000022219	Cideb	3.113967	2.527534	+		
ENSMUSG00000075592	Nynrin	1.338159	1.573734	+		+
ENSMUSG00000040380	Cbln3	NaN	NaN			
ENSMUSG00000047153	Khnyn	NaN	NaN			+
ENSMUSG00000000365	Rnf17	NaN	NaN			
ENSMUSG00000054509	Parp4	1.614074	1.690714	+		+
ENSMUSG00000040123	Zmym5	NaN	NaN			+
ENSMUSG00000089840	Gm4491	NaN	NaN			
ENSMUSG00000021967	Mrpl57	NaN	NaN			
ENSMUSG00000021973	Micu2	NaN	NaN			+
ENSMUSG00000071350	Setdb2	1.551755	1.350872	+		+
ENSMUSG00000021983	Atp8a2	1.117304	1.625079	+		+
ENSMUSG00000021986	Amer2	1.771536	2.570904	+		+
ENSMUSG00000035184	Fam124a	NaN	NaN			+
ENSMUSG00000035121	Neil2	NaN	NaN			
ENSMUSG00000035095	Fam167a	NaN	NaN			+
ENSMUSG00000022031	Elp3	NaN	NaN			+
ENSMUSG00000034248	Slc25a37	NaN	NaN			+
ENSMUSG00000093954	Gm16867	NaN	NaN			
ENSMUSG00000034205	Loxl2	NaN	NaN			
ENSMUSG00000033712	Ccar2	NaN	NaN			+
ENSMUSG00000044551	9930012K11Rik	NaN	NaN			
ENSMUSG00000022097	Sftpc	NaN	NaN			
ENSMUSG00000022095	Fam160b2	NaN	NaN			+
ENSMUSG00000022099	Dmtn	NaN	NaN			+
ENSMUSG00000034959	5031414D18Rik	NaN	NaN			+
ENSMUSG00000091722	Siah3	NaN	NaN			+
ENSMUSG00000022008	Gpalpp1	NaN	NaN			+
ENSMUSG00000034795	Ccdc122	1.588796	1.499281	+		
ENSMUSG00000034731	Dgkh	NaN	NaN			+
ENSMUSG00000058997	Vwa8	2.271469	1.93349	+		+
ENSMUSG00000022018	Rgcc	2.015829	1.538418	+		+
ENSMUSG00000022020	Naa16	NaN	NaN			+
ENSMUSG00000022022	Mtrf1	NaN	NaN			+
ENSMUSG00000043881	Kbtbd7	1.232156	1.590547	+		+
ENSMUSG00000075502	Kbtbd6	NaN	NaN			
ENSMUSG00000022025	Lect1	NaN	NaN			+
ENSMUSG00000022021	Diap3	NaN	NaN			+
ENSMUSG00000022076	Klhl1	1.293179	1.660808	+		+
ENSMUSG00000055639	Dach1	1.466798	1.515805	+		+
ENSMUSG00000033083	Tbc1d4	NaN	NaN			+
ENSMUSG00000055717	Slain1	NaN	NaN			+
ENSMUSG00000048349	Pou4f1	NaN	NaN			
ENSMUSG00000022119	Rbm26	NaN	NaN			+
ENSMUSG00000058571	Gpc6	1.899614	1.739621	+		+
ENSMUSG00000022129	Dct	2.212263	1.376657	+		
ENSMUSG00000042104	Uggt2	NaN	NaN			+
ENSMUSG00000041625	Ggact	1.504812	1.247033	+		+
ENSMUSG00000041124	Msantd4	NaN	NaN			+
ENSMUSG00000053070	9230110C19Rik	NaN	NaN			+
ENSMUSG00000040729	Cep126	NaN	NaN			
ENSMUSG00000078117	Gm16485	NaN	NaN			+
ENSMUSG00000037808	Fam76b	NaN	NaN			+
ENSMUSG00000037419	Endod1	NaN	NaN			+
ENSMUSG00000031938	4931406C07Rik	2.131792	1.706301	+		+
ENSMUSG00000046111	Cep295	NaN	NaN			
ENSMUSG00000058173	Smco4	NaN	NaN			
ENSMUSG00000074500	Zfp558	NaN	NaN			
ENSMUSG00000045519	Zfp560	NaN	NaN			+
ENSMUSG00000060510	Zfp266	NaN	NaN			+
ENSMUSG00000058192	Zfp846	NaN	NaN			+
ENSMUSG00000038884	A230050P20Rik	NaN	NaN			+
ENSMUSG00000038742	Angptl6	NaN	NaN			+
ENSMUSG00000032175	Tyk2	NaN	NaN			+
ENSMUSG00000035047	Kri1	NaN	NaN			+
ENSMUSG00000048429	1810026J23Rik	NaN	NaN			+
ENSMUSG00000074476	Spc24	NaN	NaN			
ENSMUSG00000032194	Kank2	1.810629	1.893027	+		+
ENSMUSG00000006235	Epor	NaN	NaN			+
ENSMUSG00000039632	Ccdc151	NaN	NaN			+
ENSMUSG00000010607	Pigyl	1.503221	1.123782	+		+
ENSMUSG00000057982	Zfp809	NaN	NaN			+
ENSMUSG00000062794	Zfp599	NaN	NaN			+
ENSMUSG00000066829	Zfp810	NaN	NaN			+
ENSMUSG00000036411	9530077C05Rik	NaN	NaN			+
ENSMUSG00000001833	Sep.07	NaN	NaN			
ENSMUSG00000031969	Acad8	NaN	NaN			+
ENSMUSG00000031995	St14	2.342949	1.691902	+		
ENSMUSG00000032033	Barx2	NaN	NaN			+
ENSMUSG00000032034	Kcnj5	NaN	NaN			
ENSMUSG00000032041	Tirap	NaN	NaN			+
ENSMUSG00000050471	Fam118b	NaN	NaN			+
ENSMUSG00000050555	Hyls1	NaN	NaN			+
ENSMUSG00000035934	Pknox2	NaN	NaN			+
ENSMUSG00000046240	Hepacam	2.239188	1.890529	+		+
ENSMUSG00000042138	Msantd2	NaN	NaN			+
ENSMUSG00000038112	AW551984	1.326214	2.061754	+		+
ENSMUSG00000032018	Sc5d	2.203304	2.024514	+		+
ENSMUSG00000032013	Trim29	3.748404	2.746949	+		
ENSMUSG00000034739	Mfrp	NaN	NaN			+
ENSMUSG00000070306	Ccdc153	NaN	NaN			
ENSMUSG00000032119	Hinfp	NaN	NaN			+
ENSMUSG00000002028	Kmt2a	NaN	NaN			+
ENSMUSG00000042790	Rnf214	NaN	NaN			+
ENSMUSG00000034135	Sik3	NaN	NaN			+
ENSMUSG00000032081	Apoc3	3.145525	2.454468	+		
ENSMUSG00000032078	Zpr1	NaN	NaN			
ENSMUSG00000044229	Nxpe4	NaN	NaN			+
ENSMUSG00000042293	Gm5617	2.183641	1.265867	+		+
ENSMUSG00000032268	Tmprss5	NaN	NaN			
ENSMUSG00000032066	Bco2	2.542146	3.043242	+		+
ENSMUSG00000059820	AU019823	NaN	NaN			+
ENSMUSG00000032062	2310030G06Rik	NaN	NaN			
ENSMUSG00000037971	1110032A03Rik	NaN	NaN			+
ENSMUSG00000037112	Sik2	NaN	NaN			+
ENSMUSG00000079559	Gm684	NaN	NaN			
ENSMUSG00000078307	AI593442	NaN	NaN			+
ENSMUSG00000055069	Rab39	NaN	NaN			+
ENSMUSG00000042195	Slc35f2	NaN	NaN			+
ENSMUSG00000041268	Dmxl2	NaN	NaN			+
ENSMUSG00000032291	Crabp1	NaN	NaN			+
ENSMUSG00000035878	Hykk	NaN	NaN			+
ENSMUSG00000032303	Chrna3	1.640175	1.62308	+		+
ENSMUSG00000032313	AI118078	NaN	NaN			+
ENSMUSG00000032322	Pstpip1	NaN	NaN			
ENSMUSG00000074305	Peak1	NaN	NaN			
ENSMUSG00000032300	1700017B05Rik	NaN	NaN			+
ENSMUSG00000032305	Fam219b	NaN	NaN			+
ENSMUSG00000032308	Ulk3	NaN	NaN			+
ENSMUSG00000038957	Edc3	NaN	NaN			+
ENSMUSG00000032323	Cyp11a1	NaN	NaN			+
ENSMUSG00000037206	Islr	1.87902	1.356348	+		+
ENSMUSG00000051243	Islr2	NaN	NaN			+
ENSMUSG00000066607	6030419C18Rik	NaN	NaN			+
ENSMUSG00000032294	Pkm	1.432171	1.558453	+		+
ENSMUSG00000032289	Thsd4	NaN	NaN			+
ENSMUSG00000032403	2300009A05Rik	NaN	NaN			+
ENSMUSG00000053641	Dennd4a	1.222915	1.551203	+		+
ENSMUSG00000034263	Vwa9	NaN	NaN			+
ENSMUSG00000033629	Hacd3	1.671724	1.601586	+		
ENSMUSG00000032394	Igdcc3	NaN	NaN			+
ENSMUSG00000086228	Ubap1l	NaN	NaN			
ENSMUSG00000032381	Fam96a	NaN	NaN			+
ENSMUSG00000053040	Aph1c	NaN	NaN			+
ENSMUSG00000091956	C2cd4b	NaN	NaN			
ENSMUSG00000032235	Ice2	NaN	NaN			
ENSMUSG00000059246	Foxb1	2.629438	1.998658	+		
ENSMUSG00000032224	Fam81a	NaN	NaN			+
ENSMUSG00000032212	Sltm	NaN	NaN			+
ENSMUSG00000042444	Fam63b	1.931044	2.078558	+		+
ENSMUSG00000041361	Myzap	NaN	NaN			
ENSMUSG00000036030	Prtg	NaN	NaN			+
ENSMUSG00000089865	Dyx1c1Ccpg1	NaN	NaN			
ENSMUSG00000086158	Ccpg1os	NaN	NaN			
ENSMUSG00000092310	Gm20509	NaN	NaN			
ENSMUSG00000034858	Fam214a	NaN	NaN			+
ENSMUSG00000007656	Arpp19	NaN	NaN			+
ENSMUSG00000033590	Myo5c	NaN	NaN			+
ENSMUSG00000032179	Bmp5	NaN	NaN			+
ENSMUSG00000032355	Mlip	NaN	NaN			+
ENSMUSG00000032344	Mb21d1	NaN	NaN			+
ENSMUSG00000032343	Impg1	NaN	NaN			+
ENSMUSG00000032253	Phip	NaN	NaN			+
ENSMUSG00000032265	Fam46a	NaN	NaN			+
ENSMUSG00000047897	Ripply2	NaN	NaN			
ENSMUSG00000042761	Mrap2	NaN	NaN			+
ENSMUSG00000056919	Cep162	NaN	NaN			
ENSMUSG00000092541	Gm20537	NaN	NaN			
ENSMUSG00000032425	Zfp949	NaN	NaN			+
ENSMUSG00000079427	Mthfsl	NaN	NaN			
ENSMUSG00000089929	Bcl2a1b	2.955613	3.815837	+		
ENSMUSG00000100838	Gm29094	NaN	NaN			
ENSMUSG00000039313	AF529169	NaN	NaN			+
ENSMUSG00000032369	Plscr1	NaN	NaN			
ENSMUSG00000045414	1190002N15Rik	NaN	NaN			+
ENSMUSG00000015354	Pcolce2	NaN	NaN			+
ENSMUSG00000041440	Gk5	NaN	NaN			+
ENSMUSG00000043587	Pxylp1	NaN	NaN			
ENSMUSG00000032459	Mrps22	NaN	NaN			+
ENSMUSG00000070287	Slc35g2	1.68913	1.648014	+		+
ENSMUSG00000035606	Ky	NaN	NaN			+
ENSMUSG00000032548	Slco2a1	NaN	NaN			+
ENSMUSG00000090639	Gm20425	NaN	NaN			
ENSMUSG00000032554	Trf	NaN	NaN			+
ENSMUSG00000032556	Bfsp2	NaN	NaN			+
ENSMUSG00000101152	Gm28305	NaN	NaN			
ENSMUSG00000032572	Col6a4	NaN	NaN			
ENSMUSG00000020258	Glyctk	NaN	NaN			+
ENSMUSG00000020257	Wdr82	NaN	NaN			+
ENSMUSG00000020253	Ppm1m	NaN	NaN			+
ENSMUSG00000023277	Twf2	NaN	NaN			+
ENSMUSG00000045322	Tlr9	1.060214	2.019437	+		+
ENSMUSG00000023345	Poc1a	NaN	NaN			+
ENSMUSG00000091735	Gpr62	NaN	NaN			+
ENSMUSG00000037977	6430571L13Rik	NaN	NaN			+
ENSMUSG00000010067	Rassf1	NaN	NaN			
ENSMUSG00000079334	Nat6	NaN	NaN			+
ENSMUSG00000042106	Fam212a	NaN	NaN			
ENSMUSG00000032595	Cdhr4	NaN	NaN			
ENSMUSG00000093456	Gm20662	NaN	NaN			
ENSMUSG00000032611	1700102P08Rik	NaN	NaN			
ENSMUSG00000032609	Klhdc8b	NaN	NaN			+
ENSMUSG00000006673	Qrich1	NaN	NaN			+
ENSMUSG00000091537	Tma7	NaN	NaN			+
ENSMUSG00000054836	Elp6	NaN	NaN			+
ENSMUSG00000032491	Nradd	NaN	NaN			
ENSMUSG00000056724	Nbeal2	NaN	NaN			+
ENSMUSG00000048752	Prss50	3.329906	2.12802	+		
ENSMUSG00000079260	Tmppe	NaN	NaN			+
ENSMUSG00000079259	Trim71	NaN	NaN			+
ENSMUSG00000056880	Gadl1	1.874929	2.325347	+		
ENSMUSG00000032446	Eomes	NaN	NaN			
ENSMUSG00000038775	Vill	NaN	NaN			
ENSMUSG00000038060	Dlec1	NaN	NaN			
ENSMUSG00000061393	Acvr2b	NaN	NaN			+
ENSMUSG00000034533	Scn10a	2.582134	1.281018	+		
ENSMUSG00000032514	Ttc21a	NaN	NaN			
ENSMUSG00000061536	Sec22c	NaN	NaN			+
ENSMUSG00000032526	Deb1	NaN	NaN			+
ENSMUSG00000032525	Nktr	NaN	NaN			+
ENSMUSG00000074001	Klhl40	NaN	NaN			+
ENSMUSG00000079235	Ccdc13	NaN	NaN			+
ENSMUSG00000044534	Ackr2	1.620873	1.16392	+		+
ENSMUSG00000043773	1700048O20Rik	NaN	NaN			+
ENSMUSG00000038233	Fam198a	1.683511	1.63012	+		+
ENSMUSG00000066235	Pomgnt2	1.52351	1.439547	+		+
ENSMUSG00000046603	Tcaim	NaN	NaN			+
ENSMUSG00000063488	Zkscan7	NaN	NaN			
ENSMUSG00000032551	1110059G10Rik	NaN	NaN			+
ENSMUSG00000025784	Clec3b	NaN	NaN			
ENSMUSG00000035498	Cdcp1	NaN	NaN			
ENSMUSG00000054871	Tmem158	1.502706	1.394945	+		+
ENSMUSG00000036814	Slc6a20a	NaN	NaN			+
ENSMUSG00000074829	2010315B03Rik	NaN	NaN			
ENSMUSG00000093803	Ppp2r3d	NaN	NaN			
ENSMUSG00000020453	Patz1	NaN	NaN			+
ENSMUSG00000034543	Morc2a	NaN	NaN			+
ENSMUSG00000020434	4921536K21Rik	NaN	NaN			
ENSMUSG00000049721	Gal3st1	NaN	NaN			+
ENSMUSG00000004748	Mtfp1	NaN	NaN			+
ENSMUSG00000034394	Lif	2.238441	2.210356	+		
ENSMUSG00000059534	Uqcr10	NaN	NaN			+
ENSMUSG00000009076	Zmat5	NaN	NaN			+
ENSMUSG00000041961	Znrf3	NaN	NaN			+
ENSMUSG00000041798	Gck	NaN	NaN			
ENSMUSG00000020447	Npc1l1	NaN	NaN			+
ENSMUSG00000041126	H2afv	1.706269	1.662055	+		+
ENSMUSG00000040978	Gm11992	2.058358	1.451711	+		
ENSMUSG00000020193	Zpbp	NaN	NaN			+
ENSMUSG00000035455	Fignl1	1.303541	1.63401	+		
ENSMUSG00000078970	Wdr92	NaN	NaN			+
ENSMUSG00000020160	Meis1	NaN	NaN			+
ENSMUSG00000005917	Otx1	NaN	NaN			+
ENSMUSG00000101716	Gm12057	NaN	NaN			
ENSMUSG00000098650	Gm28048	NaN	NaN			
ENSMUSG00000049811	Fam161a	NaN	NaN			+
ENSMUSG00000042208	0610010F05Rik	NaN	NaN			+
ENSMUSG00000020462	Cfap36	NaN	NaN			
ENSMUSG00000044072	Eml6	NaN	NaN			+
ENSMUSG00000020303	Stc2	NaN	NaN			+
ENSMUSG00000069919	Hba-a1	NaN	NaN			+
ENSMUSG00000040711	Sh3pxd2b	1.807255	1.703413	+		+
ENSMUSG00000057967	Fgf18	NaN	NaN			+
ENSMUSG00000069911	Fam196b	NaN	NaN			+
ENSMUSG00000069910	Spdl1	NaN	NaN			
ENSMUSG00000049336	Tenm2	1.818851	1.858888	+		+
ENSMUSG00000055415	Atp10b	NaN	NaN			+
ENSMUSG00000046491	C1qtnf2	NaN	NaN			
ENSMUSG00000069899	Gm12166	NaN	NaN			
ENSMUSG00000048721	Fndc9	NaN	NaN			+
ENSMUSG00000020397	Med7	NaN	NaN			+
ENSMUSG00000040350	Trim7	NaN	NaN			
ENSMUSG00000046879	Irgm1	NaN	NaN			+
ENSMUSG00000069892	9930111J21Rik2	NaN	NaN			
ENSMUSG00000046311	Zfp62	NaN	NaN			+
ENSMUSG00000020357	Flt4	NaN	NaN			
ENSMUSG00000020374	Rasgef1c	NaN	NaN			+
ENSMUSG00000020376	Rnf130	1.505154	1.545824	+		+
ENSMUSG00000020381	3010026O09Rik	NaN	NaN			+
ENSMUSG00000007850	Hnrnph1	NaN	NaN			+
ENSMUSG00000044296	Zfp879	NaN	NaN			+
ENSMUSG00000048728	Zfp454	NaN	NaN			+
ENSMUSG00000020335	Zfp354b	NaN	NaN			+
ENSMUSG00000020359	Phykpl	NaN	NaN			+
ENSMUSG00000001053	N4bp3	NaN	NaN			+
ENSMUSG00000052563	D930048N14Rik	NaN	NaN			+
ENSMUSG00000007777	0610009B22Rik	NaN	NaN			+
ENSMUSG00000020387	Jade2	NaN	NaN			
ENSMUSG00000036309	Skp1a	NaN	NaN			+
ENSMUSG00000036275	9530068E07Rik	1.647879	1.565393	+		+
ENSMUSG00000018238	Gdf9	NaN	NaN			
ENSMUSG00000044352	Sowaha	NaN	NaN			+
ENSMUSG00000018398	Sep.08	NaN	NaN			
ENSMUSG00000018899	Irf1	NaN	NaN			+
ENSMUSG00000091191	Gm17334	NaN	NaN			
ENSMUSG00000063652	Slc22a21	NaN	NaN			
ENSMUSG00000020388	Pdlim4	2.338116	1.900523	+		+
ENSMUSG00000035992	Fnip1	NaN	NaN			+
ENSMUSG00000020268	Lyrm7	NaN	NaN			+
ENSMUSG00000049588	Ccdc69	2.002654	1.599787	+		
ENSMUSG00000055333	Fat2	NaN	NaN			+
ENSMUSG00000000263	Glra1	1.224457	1.830164	+		+
ENSMUSG00000020523	Fam114a2	NaN	NaN			+
ENSMUSG00000020520	Galnt10	NaN	NaN			+
ENSMUSG00000069874	Irgm2	NaN	NaN			+
ENSMUSG00000049154	Fam183b	NaN	NaN			
ENSMUSG00000072915	Gm12258	NaN	NaN			+
ENSMUSG00000020491	2810021J22Rik	NaN	NaN			+
ENSMUSG00000061462	Obscn	NaN	NaN			+
ENSMUSG00000049287	Iba57	NaN	NaN			+
ENSMUSG00000020441	2310033P09Rik	NaN	NaN			+
ENSMUSG00000036819	Jmjd4	NaN	NaN			+
ENSMUSG00000054519	Zfp867	NaN	NaN			+
ENSMUSG00000020472	Zkscan17	NaN	NaN			+
ENSMUSG00000061650	Med9	NaN	NaN			+
ENSMUSG00000018415	Gid4	2.048887	2.130778	+		+
ENSMUSG00000018599	Mief2	NaN	NaN			+
ENSMUSG00000002814	Top3a	NaN	NaN			+
ENSMUSG00000018931	Natd1	NaN	NaN			
ENSMUSG00000010142	Tnfrsf13b	2.320859	3.731263	+		+
ENSMUSG00000019102	Aldh3a1	NaN	NaN			
ENSMUSG00000010122	Slc47a1	NaN	NaN			+
ENSMUSG00000014243	Zswim7	NaN	NaN			+
ENSMUSG00000046417	Lrrc75a	NaN	NaN			
ENSMUSG00000047342	Zfp286	NaN	NaN			+
ENSMUSG00000090173	Fbxw10	NaN	NaN			
ENSMUSG00000014177	Tvp23b	1.848441	1.768241	+		+
ENSMUSG00000070407	Hs3st3b1	1.877896	2.440725	+		+
ENSMUSG00000042148	Cox10	NaN	NaN			+
ENSMUSG00000095224	F930015N05Rik	NaN	NaN			
ENSMUSG00000047759	Hs3st3a1	1.679164	1.749561	+		
ENSMUSG00000033389	Arhgap44	NaN	NaN			+
ENSMUSG00000018347	Zkscan6	NaN	NaN			+
ENSMUSG00000048070	Pirt	1.219365	1.695579	+		+
ENSMUSG00000020910	Adprm	NaN	NaN			+
ENSMUSG00000020908	Myh3	NaN	NaN			+
ENSMUSG00000056328	Myh1	1.976455	1.527994	+		
ENSMUSG00000055775	Myh8	1.529586	1.318762	+		+
ENSMUSG00000060180	Myh13	3.026175	1.560191	+		
ENSMUSG00000049928	Glp2r	NaN	NaN			+
ENSMUSG00000020904	Cfap52	NaN	NaN			
ENSMUSG00000020902	Ntn1	1.891342	1.701976	+		+
ENSMUSG00000052921	Arhgef15	NaN	NaN			+
ENSMUSG00000045176	2310047M10Rik	NaN	NaN			+
ENSMUSG00000097386	9130213A22Rik	NaN	NaN			
ENSMUSG00000020892	Aloxe3	NaN	NaN			+
ENSMUSG00000020891	Alox8	NaN	NaN			+
ENSMUSG00000020890	Gucy2e	1.838197	1.615459	+		+
ENSMUSG00000032782	Cntrob	NaN	NaN			+
ENSMUSG00000059552	Trp53	NaN	NaN			+
ENSMUSG00000018752	Tnfsfm13	1.607918	1.934017	+		
ENSMUSG00000070394	Tmem256	NaN	NaN			+
ENSMUSG00000018565	Elp5	NaN	NaN			+
ENSMUSG00000020888	Dvl2	NaN	NaN			+
ENSMUSG00000040950	Mgl2	NaN	NaN			
ENSMUSG00000040904	Gm21988	NaN	NaN			
ENSMUSG00000020831	0610010K14Rik	NaN	NaN			+
ENSMUSG00000057054	Inca1	NaN	NaN			+
ENSMUSG00000018449	Rpain	NaN	NaN			+
ENSMUSG00000018442	Derl2	NaN	NaN			+
ENSMUSG00000020807	4933427D14Rik	NaN	NaN			+
ENSMUSG00000040483	Xaf1	NaN	NaN			+
ENSMUSG00000020783	1200014J11Rik	NaN	NaN			+
ENSMUSG00000005950	P2rx5	NaN	NaN			
ENSMUSG00000047260	Emc6	NaN	NaN			+
ENSMUSG00000069814	E130309D14Rik	NaN	NaN			+
ENSMUSG00000020741	Cluh	NaN	NaN			+
ENSMUSG00000038335	Tsr1	NaN	NaN			+
ENSMUSG00000043099	Hic1	NaN	NaN			
ENSMUSG00000020847	Rph3al	NaN	NaN			
ENSMUSG00000053783	1700016K19Rik	NaN	NaN			+
ENSMUSG00000020846	Fam101b	NaN	NaN			+
ENSMUSG00000069808	Fam57a	NaN	NaN			+
ENSMUSG00000038046	Rnmtl1	NaN	NaN			+
ENSMUSG00000044243	Bhlha9	NaN	NaN			+
ENSMUSG00000046275	Tusc5	NaN	NaN			
ENSMUSG00000020838	Slc6a4	1.970833	0.95636	+		
ENSMUSG00000037958	Ccdc55	NaN	NaN			+
ENSMUSG00000050944	Efcab5	NaN	NaN			+
ENSMUSG00000044328	Trp53i13	1.507788	1.20932	+		+
ENSMUSG00000037857	Nufip2	NaN	NaN			+
ENSMUSG00000020834	Dhrs13	NaN	NaN			+
ENSMUSG00000037750	Fam222b	NaN	NaN			+
ENSMUSG00000017405	Nek8	NaN	NaN			+
ENSMUSG00000002052	Supt6	1.409419	1.74364	+		+
ENSMUSG00000010277	2610507B11Rik	1.62548	1.621768	+		+
ENSMUSG00000037593	BC030499	NaN	NaN			+
ENSMUSG00000001103	Sebox	NaN	NaN			+
ENSMUSG00000049489	Fam58b	NaN	NaN			+
ENSMUSG00000072640	Lyrm9	NaN	NaN			+
ENSMUSG00000070354	Gm21975	NaN	NaN			
ENSMUSG00000017548	Suz12	NaN	NaN			+
ENSMUSG00000046909	Tefm	NaN	NaN			+
ENSMUSG00000057181	5730455P16Rik	NaN	NaN			+
ENSMUSG00000020704	Asic2	NaN	NaN			+
ENSMUSG00000018845	Unc45b	NaN	NaN			
ENSMUSG00000069793	Slfn9	1.487485	3.077094	+		+
ENSMUSG00000019122	Ccl9	2.11038	4.312951	+		+
ENSMUSG00000000983	Wfdc18	2.089095	1.295609	+		+
ENSMUSG00000020679	Hnf1b	NaN	NaN			
ENSMUSG00000018648	Dusp14	NaN	NaN			+
ENSMUSG00000018698	Lhx1	NaN	NaN			
ENSMUSG00000000093	Tbx2	NaN	NaN			
ENSMUSG00000020521	Rnft1	NaN	NaN			+
ENSMUSG00000018427	Ypel2	NaN	NaN			+
ENSMUSG00000020486	Sep.04	NaN	NaN			
ENSMUSG00000020485	Supt4a	NaN	NaN			+
ENSMUSG00000009356	Lpo	2.756384	1.410479	+		+
ENSMUSG00000052234	Epx	5.071998	3.147109	+		
ENSMUSG00000000276	Dgke	NaN	NaN			+
ENSMUSG00000047490	4932411E22Rik	0.5847303	1.602789	+		+
ENSMUSG00000020553	Pctp	2.461653	1.900468	+		+
ENSMUSG00000020541	Tom1l1	2.142943	1.774069	+		+
ENSMUSG00000056158	Car10	NaN	NaN			+
ENSMUSG00000059474	Mbtd1	NaN	NaN			+
ENSMUSG00000091228	Gm20390	NaN	NaN			
ENSMUSG00000044177	Wfikkn2	NaN	NaN			+
ENSMUSG00000010080	Epn3	NaN	NaN			+
ENSMUSG00000039096	Rsad1	NaN	NaN			+
ENSMUSG00000038893	Fam117a	NaN	NaN			+
